id,label
0,3
1,1
2,5
3,4
4,7
5,0
6,6
7,3
8,2
9,9
10,3
11,2
12,9
13,8
14,9
15,8
16,5
17,5
18,1
19,1
20,5
21,3
22,1
23,5
24,9
25,8
26,1
27,3
28,4
29,5
30,6
31,7
32,1
33,5
34,9
35,3
36,1
37,6
38,9
39,3
40,1
41,7
42,0
43,2
44,6
45,0
46,5
47,9
48,2
49,3
50,3
51,0
52,1
53,4
54,3
55,5
56,1
57,0
58,3
59,5
60,4
61,3
62,7
63,1
64,1
65,6
66,3
67,9
68,0
69,8
70,5
71,5
72,7
73,1
74,0
75,0
76,3
77,8
78,9
79,9
80,9
81,1
82,4
83,9
84,0
85,0
86,9
87,4
88,8
89,6
90,5
91,9
92,7
93,6
94,3
95,9
96,3
97,6
98,4
99,0
100,4
101,3
102,9
103,4
104,2
105,9
106,7
107,0
108,3
109,9
110,1
111,4
112,0
113,7
114,7
115,8
116,0
117,0
118,3
119,5
120,3
121,0
122,2
123,5
124,1
125,9
126,8
127,5
128,6
129,5
130,5
131,5
132,5
133,3
134,3
135,5
136,5
137,3
138,6
139,9
140,3
141,9
142,1
143,0
144,5
145,6
146,1
147,5
148,3
149,2
150,3
151,7
152,7
153,2
154,7
155,6
156,5
157,9
158,1
159,6
160,5
161,0
162,8
163,0
164,4
165,5
166,0
167,0
168,0
169,3
170,4
171,9
172,0
173,7
174,7
175,6
176,0
177,5
178,6
179,6
180,0
181,1
182,7
183,0
184,6
185,0
186,1
187,9
188,5
189,4
190,0
191,3
192,5
193,1
194,1
195,4
196,7
197,9
198,1
199,7
200,1
201,3
202,8
203,3
204,4
205,3
206,1
207,4
208,4
209,3
210,2
211,8
212,3
213,7
214,5
215,3
216,7
217,0
218,5
219,9
220,7
221,5
222,3
223,2
224,2
225,1
226,5
227,2
228,3
229,5
230,5
231,9
232,7
233,9
234,1
235,0
236,2
237,4
238,0
239,4
240,5
241,2
242,8
243,1
244,8
245,6
246,1
247,6
248,5
249,7
250,5
251,4
252,3
253,4
254,1
255,4
256,4
257,4
258,2
259,4
260,3
261,0
262,3
263,9
264,3
265,3
266,0
267,0
268,9
269,5
270,5
271,9
272,0
273,9
274,6
275,1
276,4
277,1
278,0
279,9
280,4
281,3
282,9
283,3
284,1
285,6
286,0
287,6
288,3
289,9
290,1
291,8
292,1
293,4
294,4
295,6
296,1
297,3
298,7
299,0
300,4
301,5
302,1
303,5
304,5
305,3
306,3
307,1
308,9
309,9
310,6
311,9
312,0
313,2
314,1
315,4
316,6
317,0
318,3
319,9
320,9
321,7
322,3
323,0
324,6
325,5
326,6
327,4
328,0
329,2
330,9
331,4
332,7
333,7
334,5
335,7
336,5
337,7
338,2
339,5
340,3
341,5
342,5
343,0
344,8
345,0
346,4
347,9
348,1
349,6
350,7
351,1
352,9
353,9
354,3
355,7
356,8
357,0
358,4
359,3
360,9
361,0
362,3
363,1
364,1
365,9
366,5
367,8
368,6
369,8
370,7
371,7
372,9
373,2
374,5
375,0
376,5
377,0
378,5
379,1
380,0
381,6
382,4
383,9
384,3
385,0
386,6
387,2
388,7
389,0
390,5
391,1
392,9
393,3
394,5
395,7
396,3
397,0
398,4
399,6
400,3
401,4
402,7
403,2
404,3
405,0
406,9
407,5
408,6
409,1
410,9
411,1
412,7
413,3
414,3
415,0
416,4
417,8
418,0
419,4
420,8
421,0
422,8
423,5
424,7
425,4
426,0
427,5
428,5
429,3
430,0
431,5
432,5
433,2
434,5
435,6
436,1
437,0
438,7
439,4
440,7
441,3
442,2
443,3
444,5
445,5
446,0
447,5
448,9
449,4
450,9
451,5
452,5
453,4
454,4
455,7
456,7
457,5
458,9
459,0
460,8
461,1
462,4
463,5
464,1
465,5
466,5
467,5
468,6
469,1
470,4
471,4
472,2
473,3
474,9
475,3
476,2
477,5
478,8
479,9
480,6
481,4
482,1
483,7
484,1
485,4
486,0
487,9
488,6
489,9
490,3
491,1
492,1
493,0
494,0
495,9
496,3
497,9
498,0
499,6
500,6
501,7
502,3
503,1
504,0
505,9
506,3
507,3
508,6
509,7
510,2
511,0
512,5
513,5
514,3
515,3
516,7
517,4
518,8
519,9
520,4
521,1
522,7
523,6
524,4
525,0
526,4
527,3
528,4
529,1
530,0
531,8
532,6
533,5
534,6
535,7
536,3
537,0
538,9
539,7
540,9
541,4
542,9
543,4
544,8
545,3
546,7
547,2
548,1
549,1
550,0
551,0
552,4
553,0
554,9
555,2
556,9
557,9
558,2
559,6
560,1
561,3
562,3
563,0
564,5
565,5
566,0
567,9
568,3
569,0
570,7
571,7
572,3
573,9
574,2
575,7
576,3
577,1
578,3
579,3
580,1
581,1
582,7
583,9
584,4
585,3
586,3
587,9
588,8
589,3
590,0
591,3
592,0
593,4
594,1
595,2
596,6
597,0
598,2
599,0
600,5
601,7
602,8
603,0
604,9
605,6
606,6
607,3
608,1
609,9
610,5
611,1
612,5
613,4
614,1
615,6
616,1
617,1
618,1
619,5
620,7
621,8
622,0
623,0
624,3
625,0
626,4
627,7
628,5
629,3
630,9
631,0
632,5
633,0
634,7
635,9
636,2
637,2
638,3
639,3
640,6
641,1
642,9
643,3
644,8
645,2
646,1
647,0
648,4
649,3
650,5
651,0
652,5
653,2
654,7
655,4
656,1
657,5
658,9
659,4
660,8
661,1
662,6
663,1
664,0
665,2
666,2
667,0
668,0
669,3
670,0
671,1
672,0
673,0
674,5
675,9
676,9
677,7
678,6
679,2
680,4
681,1
682,5
683,6
684,5
685,8
686,9
687,7
688,3
689,5
690,0
691,6
692,1
693,5
694,3
695,2
696,5
697,6
698,5
699,5
700,5
701,2
702,8
703,6
704,7
705,9
706,1
707,5
708,6
709,6
710,1
711,5
712,3
713,9
714,7
715,2
716,3
717,3
718,0
719,2
720,5
721,7
722,7
723,0
724,5
725,5
726,5
727,4
728,2
729,9
730,5
731,7
732,5
733,1
734,8
735,7
736,5
737,0
738,5
739,0
740,9
741,9
742,9
743,4
744,1
745,6
746,1
747,3
748,5
749,2
750,9
751,3
752,5
753,4
754,5
755,3
756,1
757,4
758,1
759,4
760,5
761,6
762,0
763,4
764,3
765,5
766,2
767,1
768,1
769,0
770,4
771,1
772,3
773,7
774,1
775,6
776,1
777,0
778,2
779,7
780,4
781,2
782,2
783,7
784,8
785,1
786,9
787,9
788,5
789,1
790,0
791,6
792,8
793,4
794,4
795,3
796,0
797,9
798,7
799,1
800,0
801,6
802,1
803,6
804,4
805,7
806,0
807,1
808,2
809,3
810,6
811,2
812,4
813,3
814,6
815,8
816,2
817,1
818,0
819,7
820,0
821,9
822,4
823,6
824,9
825,5
826,4
827,3
828,4
829,1
830,4
831,0
832,0
833,9
834,7
835,5
836,7
837,9
838,3
839,9
840,6
841,8
842,6
843,6
844,0
845,2
846,6
847,0
848,1
849,8
850,9
851,7
852,1
853,4
854,1
855,9
856,5
857,0
858,3
859,9
860,4
861,3
862,1
863,5
864,9
865,1
866,6
867,6
868,1
869,0
870,7
871,2
872,4
873,6
874,5
875,6
876,9
877,3
878,1
879,9
880,6
881,1
882,4
883,7
884,3
885,9
886,9
887,5
888,5
889,9
890,0
891,1
892,5
893,3
894,8
895,3
896,3
897,8
898,3
899,0
900,8
901,6
902,1
903,8
904,5
905,9
906,3
907,7
908,9
909,1
910,0
911,0
912,6
913,5
914,3
915,9
916,6
917,0
918,9
919,1
920,4
921,3
922,4
923,0
924,5
925,3
926,4
927,1
928,0
929,9
930,4
931,6
932,1
933,0
934,1
935,4
936,7
937,1
938,3
939,7
940,1
941,0
942,5
943,1
944,9
945,3
946,3
947,3
948,8
949,2
950,3
951,6
952,0
953,6
954,6
955,0
956,0
957,1
958,1
959,3
960,0
961,4
962,4
963,1
964,2
965,4
966,4
967,4
968,2
969,3
970,9
971,2
972,9
973,3
974,5
975,5
976,3
977,3
978,5
979,3
980,7
981,8
982,8
983,5
984,7
985,1
986,8
987,0
988,6
989,1
990,9
991,9
992,0
993,8
994,9
995,7
996,7
997,0
998,9
999,6
1000,7
1001,9
1002,4
1003,5
1004,0
1005,1
1006,1
1007,1
1008,0
1009,3
1010,4
1011,3
1012,7
1013,9
1014,1
1015,1
1016,5
1017,6
1018,7
1019,1
1020,8
1021,0
1022,9
1023,4
1024,0
1025,7
1026,3
1027,6
1028,9
1029,2
1030,1
1031,0
1032,8
1033,7
1034,5
1035,7
1036,0
1037,3
1038,9
1039,4
1040,1
1041,5
1042,9
1043,3
1044,4
1045,3
1046,6
1047,7
1048,9
1049,7
1050,9
1051,0
1052,3
1053,3
1054,5
1055,1
1056,6
1057,0
1058,0
1059,1
1060,9
1061,3
1062,0
1063,0
1064,3
1065,3
1066,8
1067,8
1068,5
1069,7
1070,6
1071,6
1072,1
1073,5
1074,7
1075,8
1076,6
1077,3
1078,0
1079,5
1080,3
1081,6
1082,7
1083,3
1084,6
1085,6
1086,9
1087,4
1088,2
1089,0
